1,2,1 ..... ...... ...... ...... .....  .....  .......
1,1,1 ...  ... ...  . ..  . ..    . .....  ..... .   .
3,3,3 .     .    . ...... . .    . .      .         .
9,9,9 .......... . ...... . .    . .      .         .
2,2,2      ....... . ...     .....    ..      .      .
3,3,1 .     .    . .    . .    . .      .         .
7,7,7 .....  ..... ........  .....  .....  .         .
4,7,1 .     .    . .....  .....  .....  .         .
6,6,6 . ...   .    . .   .  .   .  ....     ..........
8,4,3 .     .    . .   .  .   .  .      .         .
0,0,0 ...  . ....... .    . .    . .  ..  .  ..    ...
0,2,1 ..... ...... .    . .    . .....  .....     .







